longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-119.23,35.77,36,3225,635,2034,593,2.4044,INLAND,72500
-119.23,35.74,16,2275,659,1914,614,2.033,INLAND,68400
-119.23,35.77,26,2636,468,1416,485,4.1917,INLAND,84000
-118.92,35.47,6,1755,280,664,254,6.2885,INLAND,216400
-119.01,35.44,20,3458,651,1465,621,2.5806,INLAND,82500
-118.93,35.44,13,1439,237,557,227,6.1563,INLAND,204200
-118.31,35.74,18,2327,642,799,335,1.8419,INLAND,92300
-118.06,35.68,15,1962,403,730,321,2.25,INLAND,67500
-118.44,35.75,23,3166,700,1097,493,2.6288,INLAND,96000
-118.47,35.72,18,4754,1075,1366,690,2.0694,INLAND,81200
-118.5,35.7,18,3303,814,986,522,1.5957,INLAND,101400
-118.59,35.72,28,1491,408,98,48,1.4205,INLAND,90000
-118.87,35.65,33,1504,325,584,223,3.4792,INLAND,94600
-118.23,35.48,17,2354,514,775,380,1.8369,INLAND,59400
-118.33,35.64,15,2966,669,1007,465,1.5667,INLAND,72500
-118.41,35.63,15,5907,1257,2310,1001,2.3125,INLAND,96900
-118.45,35.62,18,2304,527,782,390,1.4141,INLAND,75800
-118.47,35.64,17,2248,535,927,427,1.3023,INLAND,68500
-118.48,35.61,17,4002,930,1614,731,1.6236,INLAND,67300
-118.45,35.58,16,5396,1182,1802,807,1.8819,INLAND,69700
-118.61,35.47,13,2267,601,756,276,2.5474,INLAND,78400
-117.73,35.73,35,2916,594,1870,432,3.625,INLAND,55000
-117.66,35.63,33,2579,564,1155,431,2.0441,INLAND,42100
-117.67,35.65,18,2737,589,1128,533,2.8,INLAND,72000
-117.68,35.65,15,2701,576,1245,513,3.3269,INLAND,81900
-117.69,35.65,5,1131,276,520,232,4.0167,INLAND,87500
-117.7,35.64,8,2683,416,1154,399,5.8625,INLAND,109400
-117.68,35.64,15,3253,573,1408,586,5.2043,INLAND,95700
-117.67,35.64,6,2115,342,927,337,6.1935,INLAND,115700
-117.67,35.63,32,3661,787,1613,706,3.0687,INLAND,63500
-117.68,35.63,18,4334,641,1777,661,6.0653,INLAND,105300
-117.69,35.63,5,3151,482,1335,428,5.5773,INLAND,109000
-117.7,35.62,18,2657,496,1426,483,3.5931,INLAND,71900
-117.68,35.61,9,4241,832,1929,742,3.5988,INLAND,84500
-117.68,35.6,12,1678,241,765,281,6.0532,INLAND,102800
-117.7,35.6,16,2678,483,1473,487,3.858,INLAND,70200
-117.68,35.62,30,2994,741,1481,581,2.1458,INLAND,52400
-117.64,35.61,10,2656,506,1349,501,4.25,INLAND,83200
-117.66,35.62,11,5897,1138,2728,1072,4.15,INLAND,85700
-117.66,35.61,5,5735,932,2623,862,4.8494,INLAND,87200
-117.66,35.6,14,1740,391,850,317,2.5812,INLAND,91700
-117.76,35.63,12,2014,372,1027,356,3.9261,INLAND,101300
-117.68,35.55,9,3811,605,1518,568,5.5551,INLAND,142500
-117.81,35.65,19,1124,290,598,261,1.8984,INLAND,54300
-117.87,35.73,13,2566,449,1181,414,4.1518,INLAND,91800
-117.84,35.54,11,1751,316,765,296,5.0762,INLAND,98000
-117.74,35.65,15,2357,484,1110,442,3.1755,INLAND,81700
-117.84,35.35,28,1913,486,858,371,1.9962,INLAND,50800
-118,35.05,21,1739,425,945,362,3.4015,INLAND,86500
-117.82,35.03,30,2555,510,1347,467,3.3693,INLAND,71800
-117.76,35.22,4,18,3,8,6,1.625,INLAND,275000
-117.79,35.21,4,2,2,6,2,2.375,INLAND,137500
-118.01,35.12,15,1926,361,917,316,3.3889,INLAND,68500
-117.98,35.13,5,4849,920,2504,847,3.5391,INLAND,81900
-117.95,35.13,4,2630,502,1150,422,4.25,INLAND,104400
-117.95,35.08,1,83,15,32,15,4.875,INLAND,141700
-117.98,35.1,4,923,166,352,135,4.5724,INLAND,84500
-117.99,35.16,15,2180,416,960,370,2.875,INLAND,87800
-118.27,34.92,20,873,175,422,159,2.9583,INLAND,91700
-118.34,34.86,11,7353,1482,3571,1308,2.8097,INLAND,130000
-117.68,35.03,28,2969,648,1644,570,3.4338,INLAND,54900
-117.68,34.99,33,1589,307,853,272,4.2292,INLAND,64400
-117.65,35,36,1184,316,672,241,1.9107,INLAND,39800
-118.15,34.86,10,4597,1009,2227,821,2.6149,INLAND,83500
-118.17,34.87,9,1507,293,761,278,3.0184,INLAND,87900
-118.19,34.87,2,2103,389,923,338,5.0553,INLAND,111100
-118.17,34.86,21,2370,540,1488,554,2.7361,INLAND,83300
-118.15,35.06,15,1069,296,569,263,2.0441,INLAND,73300
-118.16,35.05,44,1297,307,776,278,2.5875,INLAND,68900
-118.19,35.05,14,2992,573,1631,526,3.7452,INLAND,83200
-118.15,35.04,29,1671,368,821,337,2.16,INLAND,56800
-118.51,35.16,7,4371,727,1932,654,4.625,INLAND,136800
-118.66,35.2,7,9664,1692,3617,1370,4.0581,INLAND,162900
-118.34,35.27,10,2939,605,1167,446,2.3917,INLAND,79000
-118.48,35.14,4,8417,1657,4631,1468,3.6949,INLAND,115800
-118.61,35.08,6,3660,646,1243,482,3.4911,INLAND,137200
-118.61,34.99,11,4031,766,1539,564,3.8917,INLAND,120800
-118.46,35.13,19,3109,640,1457,620,2.6417,INLAND,94900
-118.46,35.12,16,4084,812,2033,668,3.2405,INLAND,85500
-118.43,35.12,8,1968,376,930,360,3.2632,INLAND,99800
-118.44,35.13,34,1170,290,602,266,1.7917,INLAND,80000
-118.44,35.13,21,1899,447,1133,391,1.8636,INLAND,67900
-118.91,35.3,28,1793,358,1233,351,2.7845,INLAND,82200
-118.95,35.26,24,1341,214,667,184,4,INLAND,94500
-118.83,35.27,33,1190,217,717,196,2.6302,INLAND,81300
-118.92,35.13,29,1297,262,909,253,1.9236,INLAND,106300
-118.85,35.23,26,1639,352,1222,395,1.7656,INLAND,68000
-118.82,35.23,31,2358,580,2302,574,1.9688,INLAND,53900
-118.83,35.2,17,1959,484,1763,453,2.1357,INLAND,53500
-118.82,35.2,34,2185,469,1910,455,2.1136,INLAND,57300
-118.85,35.2,17,2783,678,2566,641,1.9907,INLAND,51200
-118.91,35.27,29,1401,317,1344,306,2.0921,INLAND,61400
-118.9,35.26,31,6145,1492,5666,1457,1.9066,INLAND,54600
-118.92,35.26,20,3815,924,3450,920,2.0174,INLAND,63700
-118.91,35.24,29,2888,753,2949,699,1.7716,INLAND,45500
-119.69,36.41,38,1016,202,540,187,2.2885,INLAND,75000
-119.57,36.44,30,1860,337,1123,347,3.4926,INLAND,94200
-119.55,36.37,26,1912,339,1002,311,3.0375,INLAND,126300
-119.69,36.38,25,1688,302,879,277,3.3214,INLAND,103100
-119.78,36.37,41,831,149,443,146,3.1406,INLAND,100000
-119.83,36.37,25,1549,269,819,272,2.7159,INLAND,101400
-119.87,36.34,26,1414,265,779,249,2.9167,INLAND,83900
-119.93,36.32,25,8363,1636,7679,1580,2.0285,INLAND,106300
-119.79,36.32,19,3252,614,1971,607,3.0667,INLAND,75800
-119.77,36.32,14,3400,618,1867,612,3.9926,INLAND,92500
-119.78,36.31,14,1287,291,737,269,3.1667,INLAND,126400
-119.77,36.31,14,3677,863,2191,785,2.6218,INLAND,69100
-119.79,36.31,25,4984,1029,2414,961,2.2937,INLAND,72300
-119.77,36.3,24,2202,471,1052,439,2.1038,INLAND,62000
-119.78,36.3,30,1846,391,1255,352,2.1681,INLAND,66600
-119.79,36.3,16,1717,277,903,289,4.3438,INLAND,93100
-119.79,36.29,6,1265,227,764,246,4.2917,INLAND,104200
-119.82,36.32,18,942,193,424,174,2.0673,INLAND,87500
-119.78,36.33,16,1006,212,515,200,3.2386,INLAND,112500
-119.78,36.27,29,1871,315,1066,309,4.5714,INLAND,100800
-119.8,36.29,7,479,84,327,103,5.1728,INLAND,107500
-119.81,36.28,24,544,112,442,106,3.1071,INLAND,56100
-119.72,36.34,33,1287,214,580,210,3.2019,INLAND,112500
-119.72,36.32,40,1185,221,676,256,2.2721,INLAND,52600
-119.7,36.32,40,1178,244,586,187,2.6477,INLAND,43500
-119.73,36.31,20,2440,433,1579,400,2.8281,INLAND,60200
-119.7,36.3,10,956,201,693,220,2.2895,INLAND,62000
-119.67,36.35,10,1090,164,470,158,4.9432,INLAND,118800
-119.65,36.37,4,3725,783,1478,600,3.5486,INLAND,148000
-119.65,36.35,21,1745,266,837,292,4.3911,INLAND,107900
-119.65,36.35,38,3148,568,1378,537,2.8788,INLAND,85500
-119.66,36.35,15,1724,374,947,391,3.1094,INLAND,91900
-119.64,36.36,13,2360,340,1055,312,5.2134,INLAND,97400
-119.64,36.35,23,3182,563,1525,585,3.8108,INLAND,90400
-119.63,36.35,4,1684,343,920,324,4.2396,INLAND,90600
-119.62,36.35,10,3674,734,1864,718,2.6145,INLAND,80300
-119.64,36.35,30,1765,310,746,298,2.8125,INLAND,70200
-119.63,36.34,26,1463,261,699,219,3.5536,INLAND,71400
-119.63,36.33,14,2928,600,1633,559,1.8385,INLAND,67500
-119.61,36.33,32,1492,284,926,264,3.0139,INLAND,61500
-119.63,36.32,36,1518,287,749,255,2.2333,INLAND,61000
-119.66,36.34,32,1338,276,859,286,2.6397,INLAND,59700
-119.65,36.34,46,1730,337,752,323,1.8529,INLAND,67200
-119.65,36.34,47,1869,357,832,315,3.0846,INLAND,76100
-119.64,36.34,32,2958,670,1504,627,1.8606,INLAND,56700
-119.64,36.33,41,3095,766,1852,721,1.4524,INLAND,51700
-119.65,36.33,52,1257,257,624,243,2.3523,INLAND,59100
-119.65,36.33,47,1059,268,693,241,1.3882,INLAND,53800
-119.68,36.32,26,592,121,268,116,1.7596,INLAND,120800
-119.67,36.33,19,1241,244,850,237,2.9375,INLAND,81700
-119.66,36.33,16,2048,373,1052,388,4.0909,INLAND,92800
-119.66,36.33,10,1623,409,988,395,1.4194,INLAND,58100
-119.66,36.32,24,2652,568,1532,445,2.3256,INLAND,56800
-119.68,36.32,28,1325,276,873,240,2.5833,INLAND,54400
-119.68,36.31,12,2739,535,1859,498,2.9936,INLAND,60600
-119.66,36.3,18,1147,202,717,212,3.3681,INLAND,70500
-119.65,36.32,11,1294,314,713,290,1.5433,INLAND,50400
-119.64,36.32,32,2205,523,1772,479,1.3569,INLAND,43100
-119.65,36.3,28,941,175,588,180,2.3466,INLAND,53400
-119.64,36.31,27,1513,314,1071,284,1.5909,INLAND,50100
-119.61,36.31,25,1847,371,1460,353,1.8839,INLAND,46300
-119.57,36.27,20,2673,452,1394,449,2.625,INLAND,97400
-119.69,36.25,35,2011,349,970,300,2.395,INLAND,94100
-119.63,36.18,23,207,45,171,50,2.4286,INLAND,100000
-119.59,36.11,32,752,159,524,155,2.25,INLAND,50000
-119.57,36.09,6,2015,413,992,319,2.3889,INLAND,53200
-119.58,36.1,21,1382,327,1469,355,1.3967,INLAND,46500
-119.56,36.1,29,424,78,284,73,1.5313,INLAND,43800
-119.56,36.1,25,1093,262,893,252,2.13,INLAND,50800
-119.56,36.09,35,1648,285,792,265,3.2847,INLAND,64700
-119.56,36.09,14,1267,290,1077,279,1.85,INLAND,52300
-119.56,36.08,37,766,189,639,190,1.6607,INLAND,42100
-119.58,36.11,21,2004,385,1397,398,2.2169,INLAND,61600
-119.57,36.1,16,1461,400,1201,384,1.5727,INLAND,54800
-119.57,36.1,36,1729,317,737,278,3.5313,INLAND,68800
-119.57,36.1,37,1676,316,707,274,2.0595,INLAND,60700
-119.74,36.15,21,1548,308,1137,306,2.4688,INLAND,61300
-119.9,36.2,43,187,38,106,40,1.875,INLAND,137500
-119.82,36.19,33,1293,272,694,229,2.0221,INLAND,52200
-119.99,36.09,23,333,92,198,55,0.4999,INLAND,100000
-119.96,35.99,25,1047,270,1505,286,2.0976,INLAND,47700
-119.8,36.02,20,156,39,171,37,3.05,INLAND,225000
-120.14,36.04,27,2533,518,1371,461,2.9708,INLAND,60900
-120.12,36.01,18,1165,334,1119,308,2.2167,INLAND,48500
-120.14,36,33,1726,420,1371,388,2.0335,INLAND,43900
-120.12,35.99,7,2049,482,1387,422,2.25,INLAND,56200
-120.13,35.87,26,48,8,13,8,2.375,INLAND,71300
-120,35.91,16,259,53,131,38,3.125,INLAND,62500
-122.89,39.42,16,411,114,26,19,0.4999,INLAND,73500
-122.9,39.23,39,1295,240,534,179,3.9519,INLAND,98900
-122.91,39.18,43,89,18,86,27,2.0208,INLAND,72500
-122.91,39.17,44,202,42,142,39,4.35,INLAND,68300
-122.9,39.17,45,1314,277,649,232,2.575,INLAND,73600
-122.88,39.14,20,1125,231,521,196,2.2188,INLAND,106300
-123.07,39.12,24,1098,193,353,145,3.8333,<1H OCEAN,92600
-122.95,39.13,17,380,69,225,72,3.25,INLAND,137500
-122.89,39.11,10,1588,333,585,254,2.2551,INLAND,71100
-122.9,39.09,15,2483,544,835,380,1.9141,INLAND,143200
-122.92,39.08,24,341,64,146,57,4,INLAND,166300
-122.94,39.1,18,681,120,272,105,2.8906,INLAND,140600
-122.99,39.02,14,1582,301,851,273,3.45,<1H OCEAN,164100
-122.91,39.07,21,2202,484,1000,381,2.4423,INLAND,102300
-122.91,39.06,21,1236,238,601,261,1.939,INLAND,100300
-122.92,39.05,16,1548,295,605,250,3.5652,INLAND,119000
-122.91,39.05,20,1128,229,621,210,3.2216,INLAND,93500
-122.92,39.05,38,3131,624,1591,568,2.5457,INLAND,80700
-122.91,39.05,27,789,208,295,108,3.7667,INLAND,95000
-122.91,39.03,14,2374,557,723,427,1.3532,INLAND,95800
-122.7,39.14,13,532,111,214,62,3.3929,INLAND,108300
-122.87,39.13,15,1927,427,810,321,1.6369,INLAND,86500
-122.86,39.08,24,3127,674,1015,448,2.0417,INLAND,78800
-122.83,39.09,26,2191,495,679,371,1.4679,INLAND,94700
-122.79,39.09,20,1798,395,685,331,1.625,INLAND,66800
-122.8,39.08,17,1880,467,798,342,1.4676,INLAND,65000
-122.79,39.08,23,952,200,321,128,1.5208,INLAND,89000
-122.78,39.05,15,1601,323,661,269,2.6181,INLAND,108900
-122.53,39.09,11,1264,271,370,177,1.3,INLAND,69700
-122.69,39.04,9,254,50,66,29,2.7639,INLAND,112500
-122.73,39.04,23,1618,395,425,244,1.9833,INLAND,111500
-122.69,39.02,27,2199,527,744,316,2.1094,INLAND,72400
-122.66,39.03,27,1446,329,594,255,1.165,INLAND,53300
-122.66,39.02,16,3715,810,943,510,1.7446,INLAND,109400
-122.7,39,18,793,148,186,59,2.3125,INLAND,162500
-122.7,38.99,18,1177,224,181,105,2.3558,INLAND,134700
-122.65,38.99,16,4279,951,1596,666,1.8571,INLAND,75900
-122.52,38.99,16,975,219,337,155,1.6607,INLAND,77800
-122.68,38.98,27,2300,508,526,254,2.1838,INLAND,109700
-122.65,38.97,32,1856,472,703,292,1.1912,INLAND,60000
-122.63,38.96,17,1708,459,633,312,1.75,INLAND,64000
-122.62,38.95,19,2230,538,832,359,1.6865,INLAND,58800
-122.62,38.94,14,1731,400,638,282,2.3179,INLAND,57500
-122.61,38.93,14,231,36,108,31,4.3897,INLAND,71300
-122.6,38.93,16,1657,390,572,301,1.4767,INLAND,62000
-122.62,38.96,16,1914,446,828,332,2.0577,INLAND,69000
-122.63,38.96,20,2507,577,1072,457,2.3083,INLAND,60200
-122.65,38.96,27,2143,580,898,367,1.6769,INLAND,63200
-122.64,38.96,29,883,187,326,136,1.7273,INLAND,58200
-122.64,38.95,28,1503,370,522,268,1.2029,INLAND,68900
-122.63,38.95,11,686,127,246,86,1.7083,INLAND,77300
-122.63,38.94,25,661,144,192,93,1.7566,INLAND,49000
-122.63,38.94,18,3844,969,1832,845,1.125,INLAND,81800
-122.62,38.94,13,524,129,215,90,1.5455,INLAND,55000
-122.7,38.97,17,2554,540,723,319,3.2375,INLAND,114200
-122.75,39.01,17,4162,967,889,414,3.4187,INLAND,200500
-122.79,39.02,23,642,203,265,84,1.8833,INLAND,96900
-122.78,38.97,11,5175,971,2144,792,3.0466,INLAND,97300
-122.69,38.94,9,1245,234,517,187,3.125,INLAND,93400
-122.71,38.91,20,41,18,94,10,1.375,INLAND,55000
-122.86,39.05,20,1592,327,647,253,2.5326,INLAND,136800
-122.85,39,20,1580,318,753,252,1.8704,INLAND,88500
-122.83,38.99,15,289,49,191,54,1.6833,INLAND,113900
-122.83,38.98,17,1383,347,719,296,1.6164,INLAND,77800
-122.84,38.98,21,939,176,556,178,1.7196,INLAND,75000
-122.92,38.97,20,2067,384,904,333,2.9934,<1H OCEAN,134200
-122.89,38.93,20,1214,247,504,223,2.7188,<1H OCEAN,105700
-122.83,38.96,15,1318,296,567,276,1.8692,INLAND,93800
-122.77,38.92,26,712,140,293,100,4.0119,INLAND,119400
-122.83,38.89,11,640,134,268,90,3.4514,<1H OCEAN,100000
-122.72,38.88,29,2781,,890,310,1.9906,INLAND,96600
-122.74,38.83,12,4515,909,1554,528,3.3531,<1H OCEAN,90800
-122.48,38.9,10,304,63,161,61,2.1964,INLAND,112500
-122.59,38.92,15,1410,329,599,273,2.1953,INLAND,75000
-122.6,38.9,23,292,56,92,41,2.9583,INLAND,91700
-122.62,38.92,13,520,115,249,109,1.8417,INLAND,84700
-122.65,38.92,30,70,38,20,13,4.125,INLAND,112500
-122.64,38.87,16,1177,240,519,199,1.5739,INLAND,73500
-122.5,38.82,12,2394,443,877,341,2.5625,INLAND,109200
-122.51,38.76,9,2589,482,1050,374,4.0435,INLAND,132600
-122.55,38.81,7,3639,637,1027,421,3.8831,INLAND,132100
-122.59,38.78,15,764,145,366,143,3.375,INLAND,103100
-122.66,38.81,22,852,176,461,142,3.4375,INLAND,83300
-122.68,38.76,29,994,226,302,117,2.3125,INLAND,67900
-122.62,38.73,21,1425,323,727,287,2.1474,INLAND,85300
-122.64,38.71,20,531,126,231,96,2.625,INLAND,89600
-122.52,38.7,26,102,17,43,13,0.536,INLAND,87500
-121.11,41.07,26,1707,308,761,250,2.7188,INLAND,48100
-120.96,41.12,29,779,136,364,123,2.5,INLAND,59200
-121.07,40.85,17,976,202,511,175,3.6641,INLAND,80800
-120.38,40.98,27,777,185,318,115,1.6833,INLAND,40000
-120.35,40.63,33,240,49,63,22,3.625,INLAND,200000
-120.77,40.65,11,2635,667,280,132,1.7214,INLAND,118300
-121.02,40.51,17,890,167,406,154,3.3036,INLAND,78300
-120.96,40.28,19,683,139,302,111,2.5,INLAND,64100
-121.03,40.35,52,5486,1044,1977,754,2.1833,INLAND,49500
-120.67,40.5,15,5343,,2503,902,3.5962,INLAND,85900
-120.57,40.43,15,2045,461,1121,402,2.6902,INLAND,71500
-120.66,40.42,35,1450,325,717,297,2.5074,INLAND,66400
-120.65,40.42,39,3240,652,1467,621,2.1875,INLAND,64300
-120.66,40.41,52,2081,478,1051,419,2.2992,INLAND,70200
-120.64,40.41,50,1741,424,987,383,1.5066,INLAND,59300
-120.71,40.36,19,4462,828,2229,777,3.5536,INLAND,105700
-120.58,40.37,16,3412,667,1873,590,2.2661,INLAND,61800
-120.42,40.38,26,1652,313,762,280,2.4757,INLAND,85600
-120.36,40.45,19,689,143,355,127,1.7333,INLAND,70000
-120.51,40.41,36,36,8,4198,7,5.5179,INLAND,67500
-120.54,40.29,17,3391,623,1529,571,3.4028,INLAND,91000
-120.49,40.31,16,1821,360,969,359,3.4643,INLAND,85100
-120.37,40.17,21,789,141,406,146,2.1198,INLAND,73500
-120.2,40.26,26,2399,518,1037,443,2.6765,INLAND,47600
-120.09,39.92,19,2335,518,1028,383,1.7267,INLAND,60700
-118.27,34.27,27,5205,859,2363,888,6.1946,<1H OCEAN,276100
-118.28,34.26,32,1079,207,486,167,4.9833,<1H OCEAN,213000
-118.29,34.26,33,3177,713,1845,612,4.008,<1H OCEAN,191100
-118.3,34.26,37,2824,633,1619,573,3.5568,<1H OCEAN,184500
-118.3,34.26,42,2186,423,1145,439,4.81,<1H OCEAN,191900
-118.28,34.25,35,2045,450,1166,407,3.5214,<1H OCEAN,197600
-118.28,34.25,29,2559,,1886,769,2.6036,<1H OCEAN,162100
-118.29,34.25,19,1988,594,1399,527,2.4727,<1H OCEAN,175000
-118.29,34.25,8,5568,1514,3565,1374,3.0795,<1H OCEAN,161500
-118.27,34.25,37,2489,454,1215,431,5.0234,<1H OCEAN,257600
-118.27,34.25,35,2091,360,879,326,4.4485,<1H OCEAN,261900
-118.27,34.24,30,2180,369,1050,390,6.3688,<1H OCEAN,277600
-118.27,34.25,35,779,143,371,150,4.6635,<1H OCEAN,230100
-118.27,34.25,39,699,150,358,143,4.4375,<1H OCEAN,195800
-118.28,34.24,32,2542,526,1278,493,4.45,<1H OCEAN,263600
-118.28,34.24,29,3390,580,1543,576,5.6184,<1H OCEAN,316900
-118.3,34.25,36,1300,304,688,261,3.1523,<1H OCEAN,176700
-118.33,34.24,31,6434,1188,3540,1131,4.2639,<1H OCEAN,293300
-118.35,34.22,19,9259,1653,3963,1595,5.997,<1H OCEAN,228700
-118.35,34.22,30,1260,222,638,229,4.1302,<1H OCEAN,258300
-118.35,34.21,39,1470,312,1047,284,3.275,<1H OCEAN,181400
-118.35,34.21,42,1073,220,804,226,3.75,<1H OCEAN,172600
-118.31,34.28,34,3258,610,1810,633,5.1145,<1H OCEAN,219900
-118.31,34.27,35,1446,274,759,291,6.0808,<1H OCEAN,215600
-118.3,34.26,43,1510,310,809,277,3.599,<1H OCEAN,176500
-118.3,34.26,40,1065,214,605,183,4.1964,<1H OCEAN,185900
-118.31,34.26,38,2264,460,1124,388,4.2685,<1H OCEAN,189600
-118.31,34.26,41,1297,327,733,315,3.0583,<1H OCEAN,160300
-118.31,34.26,34,1797,363,948,363,4.1339,<1H OCEAN,187300
-118.32,34.26,32,3690,791,1804,715,4.4875,<1H OCEAN,222700
-118.35,34.28,30,3214,513,1700,533,4.6944,<1H OCEAN,248200
-118.33,34.27,29,3034,732,1776,702,3.1349,<1H OCEAN,230200
-118.35,34.27,32,604,108,314,113,6.2037,<1H OCEAN,205400
-118.34,34.26,37,1776,301,702,265,5.2661,<1H OCEAN,314900
-118.35,34.25,34,2795,460,1267,443,6.1464,<1H OCEAN,354400
-118.36,34.26,34,3677,573,1598,568,6.838,<1H OCEAN,378000
-118.3,34.26,28,1643,489,1142,458,3.1607,<1H OCEAN,200600
-118.3,34.25,44,1442,285,859,292,4.5833,<1H OCEAN,197300
-118.31,34.26,37,1444,246,624,239,5.76,<1H OCEAN,239400
-118.31,34.26,36,1882,453,1005,409,3.8,<1H OCEAN,217100
-118.32,34.26,24,5106,1010,2310,957,4.4375,<1H OCEAN,191500
-118.39,34.28,24,4694,820,3566,777,4.4818,<1H OCEAN,166200
-118.38,34.28,22,4428,825,3152,836,4.7932,<1H OCEAN,166300
-118.4,34.28,16,6573,1480,6161,1473,3.3304,<1H OCEAN,154900
-118.38,34.27,8,3248,847,2608,731,2.8214,<1H OCEAN,158300
-118.41,34.29,35,1008,204,1162,215,3.35,<1H OCEAN,147600
-118.41,34.29,32,1591,320,1818,306,4.2969,<1H OCEAN,145800
-118.42,34.28,29,1271,272,1338,266,4.125,<1H OCEAN,150000
-118.41,34.28,32,2574,531,2609,472,3.7566,<1H OCEAN,146700
-118.4,34.28,22,3517,810,3134,847,2.6652,<1H OCEAN,164800
-118.42,34.28,35,822,200,1197,203,3.2865,<1H OCEAN,133300
-118.42,34.28,34,1999,427,2391,439,2.8,<1H OCEAN,144300
-118.42,34.27,33,1209,341,1097,283,1.6295,<1H OCEAN,134300
-118.42,34.27,33,937,216,1216,212,3.3214,<1H OCEAN,131300
-118.42,34.27,35,674,153,808,173,2.6667,<1H OCEAN,147800
-118.43,34.28,30,1384,308,2054,301,3.0132,<1H OCEAN,142600
-118.43,34.27,31,1130,276,1533,269,4.2353,<1H OCEAN,156800
-118.43,34.27,36,1002,250,1312,249,3.024,<1H OCEAN,148000
-118.42,34.27,37,1024,246,1371,239,3.225,<1H OCEAN,147500
-118.43,34.26,30,1246,373,1990,369,3.5104,<1H OCEAN,140900
-118.43,34.26,37,1269,348,1835,335,3.2583,<1H OCEAN,147200
-118.44,34.27,35,777,187,1022,186,3.4,<1H OCEAN,139600
-118.43,34.26,43,729,172,935,174,2.9519,<1H OCEAN,140900
-118.42,34.25,37,1545,341,1909,352,3.6791,<1H OCEAN,148100
-118.43,34.25,35,1447,335,1630,306,2.9205,<1H OCEAN,143100
-118.42,34.26,26,1788,521,2582,484,2.1062,<1H OCEAN,136400
-118.41,34.26,38,870,205,1065,222,2.5313,<1H OCEAN,136100
-118.42,34.26,36,973,221,1086,218,3.4519,<1H OCEAN,143300
-118.42,34.26,37,1789,424,2279,411,3.9,<1H OCEAN,138600
-118.41,34.27,38,858,203,1250,204,2.9219,<1H OCEAN,137900
-118.42,34.27,35,2700,702,3444,679,1.4867,<1H OCEAN,124000
-118.4,34.26,13,4379,872,2560,853,4.2538,<1H OCEAN,154300
-118.4,34.25,13,1872,497,1927,432,2.2019,<1H OCEAN,134200
-118.41,34.25,19,280,84,483,87,1.95,<1H OCEAN,137500
-118.41,34.25,33,827,192,981,184,2.6429,<1H OCEAN,143100
-118.41,34.25,36,1146,259,1173,272,3.6016,<1H OCEAN,153800
-118.41,34.25,18,3447,857,3663,817,3.2284,<1H OCEAN,157100
-118.42,34.24,17,2049,548,2243,541,2.525,<1H OCEAN,163700
-118.42,34.25,36,1430,331,1502,312,3.6292,<1H OCEAN,145200
-118.43,34.32,34,2657,515,1948,532,4.233,<1H OCEAN,157400
-118.43,34.33,18,5891,920,2882,911,5.901,<1H OCEAN,235600
-118.44,34.32,14,6235,1286,3568,1190,4.1724,<1H OCEAN,211600
-118.42,34.31,19,6755,1443,4205,1395,3.9583,<1H OCEAN,163200
-118.42,34.3,29,3334,712,2919,718,3.6548,<1H OCEAN,180300
-118.41,34.32,18,6572,1105,3473,1067,5.2987,<1H OCEAN,203400
-118.41,34.3,28,3187,569,2205,559,5.1668,<1H OCEAN,187400
-118.42,34.32,30,3027,604,1970,590,4.3409,<1H OCEAN,156000
-118.44,34.31,14,4151,941,3163,915,4.0301,<1H OCEAN,154300
-118.44,34.31,22,3182,822,2661,746,2.7472,<1H OCEAN,160100
-118.44,34.3,38,1595,314,1181,327,3.4,<1H OCEAN,155500
-118.45,34.31,9,1739,358,820,323,4.0556,<1H OCEAN,182500
-118.45,34.32,23,3481,641,1952,682,4.26,<1H OCEAN,189400
-118.46,34.32,10,5777,1112,2917,1056,4.1514,<1H OCEAN,194100
-118.45,34.31,28,1532,287,977,275,4.4773,<1H OCEAN,173100
-118.46,34.3,32,2424,476,2291,419,4.0337,<1H OCEAN,158500
-118.46,34.31,24,2920,601,1460,598,4.2708,<1H OCEAN,218200
-118.47,34.32,13,2664,518,1468,521,4.8988,<1H OCEAN,325200
-118.48,34.33,9,2384,395,1697,402,6.0891,<1H OCEAN,270100
-118.48,34.31,31,1091,256,892,238,3,<1H OCEAN,172400
-118.47,34.3,16,2495,551,2314,567,3.6736,<1H OCEAN,192200
-118.46,34.29,24,3668,890,3151,810,3.0526,<1H OCEAN,183300
-118.47,34.29,18,4256,987,3401,955,4.2935,<1H OCEAN,190000
-118.49,34.29,26,4516,611,1714,581,9.2873,<1H OCEAN,431800
-118.49,34.28,27,2535,389,1071,386,6.8695,<1H OCEAN,319400
-118.49,34.28,31,3508,585,1957,588,6.6458,<1H OCEAN,285500
-118.49,34.31,25,1024,145,357,147,7.0598,<1H OCEAN,356300
-118.52,34.32,18,7498,976,3189,955,8.1248,<1H OCEAN,374000
-118.51,34.3,24,6145,868,2710,875,7.5078,<1H OCEAN,344000
-118.51,34.28,29,4239,653,1890,631,6.3911,<1H OCEAN,301700
-118.51,34.29,29,1287,194,525,187,6.4171,<1H OCEAN,319300
-118.52,34.29,28,2272,320,868,312,7.7464,<1H OCEAN,474600
